,mass,meta_rate
283,4.42,2183.0
284,4.11,1776.0
285,4.23,2732.0
286,4.415,2712.0
287,4.0,2896.0
288,3.875,2834.0
289,4.65,2356.0
290,4.0,2816.0
291,3.95,2300.0
292,4.62,2690.0
293,4.32,1870.0
294,4.625,2721.0
295,3.22,1929.0
296,3.115,2392.0
297,3.185,1845.0
298,3.8,2773.0
299,7.1,1284.4
300,6.3,1153.7
301,9.2,1791.9
302,9.1,1916.5
303,8.15,1519.9
304,7.1,1815.1
305,6.4,1542.4
306,6.6,779.46
307,0.06145,193.0
308,0.0591,182.0
309,0.06585,206.0
310,0.0623,193.0
311,0.0665,234.0
312,0.062,164.0
313,0.0598,199.0
314,0.0599,170.0
315,0.0575,217.0
316,0.0645,202.0
317,0.0626,206.0
318,0.058667,197.33
319,0.0608,320.0
320,0.0601,322.0
321,0.0617,180.0
322,0.0666,224.0
323,0.0616,295.0
324,0.0625,170.0
325,0.0633,220.0
326,0.0648,192.0
327,0.0658,162.0
328,0.0605,189.0
329,0.0628,177.0
330,0.0605,159.0
331,0.059,159.0
332,0.0612,157.0
333,0.0603,168.0
334,27.398000000000003,3383.2
335,30.002,3374.6
336,29.492,4483.6
337,22.491,3653.7
338,30.485,4117.1
339,23.119,6943.8
340,23.254,4096.0
341,23.059,4542.2
342,26.951,6808.9
343,24.042,4018.4
344,34.387,7415.3
345,33.813,4067.4
346,35.181,1841.7
347,38.573,8752.6
348,28.424,4918.3
349,33.227,10989.0
350,25.795,9017.0
351,33.747,7073.2
352,33.981,6464.4
353,0.019,97.23
354,0.02,58.19
355,0.021,71.65
356,0.018000000000000002,86.68999999999998
357,0.908,474.88
358,1.0425,554.38
359,0.8475,466.4
360,1.0775,519.4
361,1.0625,620.1
362,1.1,598.9
363,1.115,506.68
364,1.02,513.04
365,0.875,2950.0
366,0.7879999999999998,1195.5
367,0.635,727.7
368,0.855,843.2999999999998
369,0.86,525.8
370,1.005,605.7
371,0.635,1956.1
372,0.765,2308.7
373,0.78,2135.6
374,0.79,1945.6
375,0.635,1490.5
376,0.6679999999999999,1361.3
377,0.64,1086.5
378,0.645,1091.0
379,0.32899999999999996,565.67
380,0.393,631.57
381,0.44,733.71
382,0.364,761.08
383,0.3935,750.0499999999998
384,0.34467,986.47
385,0.3645,745.0599999999998
386,0.33,963.71
387,0.34,790.21
388,0.383,761.1
389,0.371,794.85
390,0.417,754.52
391,0.322,684.39
392,0.3555,829.89
393,0.35100000000000003,1000.8
394,0.367,995.66
395,0.35233000000000003,989.03
396,0.35700000000000004,827.96
397,0.33,1089.2
398,0.393,831.8999999999999
399,0.402,1201.8
400,0.341,1022.3
401,0.37,882.32
402,0.397,785.49
403,0.3395,876.08
404,0.434,813.7
405,0.346,687.57
406,0.363,737.0399999999998
407,0.331,637.74
408,0.433,1436.6
409,0.34233,687.11
410,0.40567,885.63
411,0.363,746.44
412,0.376,961.6
413,0.331,918.0100000000001
414,0.353,1207.8
415,0.374,798.1499999999999
416,0.389,655.39
417,0.365,945.0
418,0.43375,952.5
419,0.3875,582.0
420,0.4,667.0
421,0.3825,862.0
422,0.4,895.5
423,0.45,1333.5
424,0.38375,596.5
425,0.365,1098.0
426,0.3525,801.5
427,0.3875,932.0
428,0.36,1233.5
429,0.37375,959.0
430,0.365,436.5
431,0.3425,399.0
432,0.40375,1031.5
433,0.4025,771.0
434,0.16699999999999998,681.5
435,0.1885,674.5
436,0.1505,625.6
437,0.1605,882.6
438,0.1573,673.8
439,0.1645,610.0
440,0.1735,732.8999999999999
441,0.1543,677.3
442,0.16317,724.77
443,0.165,658.05
444,1.0,670.0
445,0.0187,74.04999999999998
446,0.0189,73.51
447,0.0186,60.61
448,0.016,88.37999999999998
449,0.016,80.01999999999998
450,0.017,76.98999999999998
451,0.016,84.51999999999998
452,0.685,522.0
453,1.35,1220.0
454,0.79,654.0
455,1.03,700.0
456,1.09,730.0
457,1.1,850.0
458,1.35,910.0
459,0.698,758.0
460,0.748,982.0
461,1.06,854.0
462,0.136,80.05899999999998
463,0.1565,114.34
464,0.144,99.149
465,0.144,87.039
466,0.14800000000000002,91.013
467,0.132,73.542
468,62.8,13210.0
469,64.5,16760.0
470,55.8,17960.0
471,1.82,580.58
472,3.2,1088.0
473,3.49,973.71
474,2.92,829.2799999999999
475,1.97,494.47
476,4.45,222.5
477,3.98,210.94
478,3.48,643.8
479,4.37,659.87
480,0.08179999999999998,139.06
481,0.0603,94.671
482,0.093,84.816
483,0.08649999999999998,92.209
484,0.0838,121.09
485,0.0974,172.98
486,0.08219999999999998,171.06
487,0.081,144.75
488,0.1023,195.29
489,0.0791,160.1
490,0.07549999999999998,144.73
491,0.076,150.25
492,104.5,28090.0
493,108.5,24580.0
494,108.25,23360.0
495,107.0,24490.0
496,109.25,25600.0
497,0.2022,470.0
498,0.1691,383.0
499,0.1605,326.0
500,0.1772,481.0
501,0.17,399.0
502,0.1769,388.0
503,0.1777,507.0
504,0.1545,337.0
505,0.1778,426.0
506,0.16596,245.76
507,0.19953,378.89
508,0.18621,385.05
509,0.18197,412.59
510,0.20893,420.26
511,0.19953,465.07
512,0.20893,472.62
513,0.20893,400.42
514,0.17783,258.53
515,0.18197,259.72
516,0.17378,273.85
517,0.17378,305.85
518,0.19055,349.55
519,0.18621,364.35
520,0.18621,378.02
521,0.19953,378.02
522,2.275,2307.0
523,2.403,1927.0
524,2.165,2052.0
525,1.835,2244.0
526,1.93,1941.0
527,0.14,281.0
528,0.13,419.0
529,0.116,372.0
530,0.144,383.0
531,0.14800000000000002,372.0
532,0.139,313.0
533,0.12,339.0
534,0.125,365.0
535,0.117,294.0
536,0.122,418.0
537,15.85,15749.0
538,11.65,2415.7
539,13.4,11925.0
540,14.0,12580.0
541,12.55,11602.0
542,15.7,12208.0
543,13.7,11127.0
544,14.35,11778.0
545,12.0,7257.6
546,13.05,9922.2
